countryProfile,topicId,topicName,tableId,tableName,seriesCode,hub,seriesDesc,units,multiplier,baseYear,multiplierDesc,personnelTypeCode,personnelTypeDesc,activityCode,activityDesc,speciesCode,speciesDesc,ODACode,ODADesc,urbanizationCode,urbanizationDesc,ageCode,ageDesc,sexCode,sexDesc,educationLevCode,educationLevDesc,Country_profiles,FactName,Theme,Units
,3,Education,1,"Enrolment in primary, secondary and tertiary education levels",SYB001,f4ebc92d8aea47bdac090dfa3da29bb2,Gross education enrollment ratio,Ratio,0,,,,,,,,,,,,,,,M,Male,AGG_2_3,Secondary education (lower and upper secondary education),,,,
,3,Education,1,"Enrolment in primary, secondary and tertiary education levels",SYB001,f4ebc92d8aea47bdac090dfa3da29bb2,Gross education enrollment ratio,Ratio,0,,,,,,,,,,,,,,,M,Male,AGG_5T8,Tertiary education,,,,
,3,Education,1,"Enrolment in primary, secondary and tertiary education levels",SYB001,f4ebc92d8aea47bdac090dfa3da29bb2,Gross education enrollment ratio,Ratio,0,,,,,,,,,,,,,,,M,Male,ISCED11_1,Primary education,,,,
,3,Education,1,"Enrolment in primary, secondary and tertiary education levels",SYB002,4aa9ce6bd1cf48deab7dcf9152c404a1,Number of students enrolled in formal education,Number of students,3,,,,,,,,,,,,,,,,,AGG_2_3,Secondary education (lower and upper secondary education),,,,
,3,Education,1,"Enrolment in primary, secondary and tertiary education levels",SYB002,4aa9ce6bd1cf48deab7dcf9152c404a1,Number of students enrolled in formal education,Number of students,3,,,,,,,,,,,,,,,,,AGG_5T8,Tertiary education,,,,
,3,Education,1,"Enrolment in primary, secondary and tertiary education levels",SYB002,4aa9ce6bd1cf48deab7dcf9152c404a1,Number of students enrolled in formal education,Number of students,3,,,,,,,,,,,,,,,,,ISCED11_1,Primary education,,,,
,13,Environment,5,Threatened species,SYB003,5157cb78563b4da4936c39efda0be6c3,Threatened species,Number of species,0,,,,,,,_T,Total,,,,,,,,,,,,,,
,13,Environment,5,Threatened species,SYB003,5157cb78563b4da4936c39efda0be6c3,Threatened species,Number of species,0,,,,,,,INVERTEBRATES,Invertebrates,,,,,,,,,,,,,,
,13,Environment,5,Threatened species,SYB003,5157cb78563b4da4936c39efda0be6c3,Threatened species,Number of species,0,,,,,,,PLANTS,Plants,,,,,,,,,,,,,,
,13,Environment,5,Threatened species,SYB003,5157cb78563b4da4936c39efda0be6c3,Threatened species,Number of species,0,,,,,,,VERTEBRATES,Vertebrates,,,,,,,,,,,,,,
,14,Science and technology,6,Gross domestic expenditure on research and development (R&D),SYB004,516b158641f445a2a982a46bfdb852a3,Gross domestic expenditure on R & D as a percentage of GDP,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,14,Science and technology,6,Gross domestic expenditure on research and development (R&D),SYB005,200f2498b38942d994f5acaf07628f02,Gross domestic expenditure on R & D: Business enterprises,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,14,Science and technology,6,Gross domestic expenditure on research and development (R&D),SYB006,5d99ab6eba2a477f90088daf76a88be8,Gross domestic expenditure on R & D: Funds from abroad,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,14,Science and technology,6,Gross domestic expenditure on research and development (R&D),SYB007,c7854288ecb84eeabcf5f798a37d9bfa,Gross domestic expenditure on R & D: Government,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,14,Science and technology,6,Gross domestic expenditure on research and development (R&D),SYB008,5df5708e8bad4269b2b780ed038bcf74,Gross domestic expenditure on R & D: Higher education,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,14,Science and technology,6,Gross domestic expenditure on research and development (R&D),SYB009,da7613fc860f46c28a8a4fda55564890,Gross domestic expenditure on R & D: Not distributed,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,14,Science and technology,6,Gross domestic expenditure on research and development (R&D),SYB010,aab8b5297c4b4d40bc24258e000a5f4b,Gross domestic expenditure on R & D: Private non-profit,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,2,Population and migration,8,Population growth and indicators of fertility and mortality,SYB011,b69e704c91974e69b5ae5763f1a49450,Infant mortality ratio,"Number of deaths per 1,000 live births",0,,,,,,,,,,,,,,,,,,,,,,
,2,Population and migration,8,Population growth and indicators of fertility and mortality,SYB012,3aa919d7703a4ecfa9d55bac8694343f,Life expectancy at birth,Number of years,0,,,,,,,,,,,,,,,F,Female,,,,,,
,2,Population and migration,8,Population growth and indicators of fertility and mortality,SYB012,3aa919d7703a4ecfa9d55bac8694343f,Life expectancy at birth,Number of years,0,,,,,,,,,,,,,,,M,Male,,,,,,
,2,Population and migration,8,Population growth and indicators of fertility and mortality,SYB013,0a5482be9b574d9294c03089fe52803f,Maternal mortality ratio,"Number of deaths per 1,000 population",0,,,,,,,,,,,,,,,,,,,,,,
,15,International merchandise trade,14,Major trading partners,SYB018,c40c433ca8bf42268a279d4edaa4a129,Share of exports to second major trading partner,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,15,International merchandise trade,14,Major trading partners,SYB019,d15f3b7424a841d5b189f658cf1c868e,Share of imports from second major trading partner,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,15,International merchandise trade,14,Major trading partners,SYB020,e7076265cb3e4f749beabd9013df9231,Share of exports to third major trading partner,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,15,International merchandise trade,14,Major trading partners,SYB021,35980a3e474845119427797aac070971,Share of imports from third major trading partner,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,6,National accounts,19,Gross domestic product and gross domestic product per capita,SYB023,5e962982b65c47e2adaba44f367c9845,GDP in constant prices,US dollars,6,2010,,,,,,,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_BASIC_METALS,Basic metals,,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_CHEM_PET_RUB_PLA,"Chemicals, petroleum, rubber and plastic products",,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_ELEC_GAS_STEAM,"Electricity, gas, steam",,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_FOOD_BEV_TOB,"Food, beverages and tobacco",,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_MACHINERY,Machinery,,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_METAL_PRODUCTS,Metal products,,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_METAL_PRODUCTS_MACHINERY,Metal products and machinery,,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_MINING_MANUFACTURING,Mining and manufacturing,,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_MISC_MANUFACTURING,Miscellaneous manufacturing industries,,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_TEXTILES_APPAREL_LEATHER_FOOTWEAR,"Textiles, wearing apparel, leather, footwear",,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_TOTAL,"Total industry - Mining; manufacturing; electricity, gas and water",,,,,,,,,,,,,,,,
,9,Price and production indices,23,Index of Industrial Production,SYB027,3e6c2522bf274ac1930b60e124ff46fd,Index of industrial production,Index,0,2005=100,,,,IND_WATER_WASTE_MGNT,Water and waste management,,,,,,,,,,,,,,,,
,9,Price and production indices,32,Agricultural production indices,SYB029,070efd18b12049899372bda29e3f6205,Index of food production,Index,0,2004-2006 = 100,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,57,Railways: traffic,SYB031,c7368c21d75947f88fed9801e6477a3c,Railway traffic - net weight-distance,Ton-kilometers,6,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,57,Railways: traffic,SYB032,39dc2a917748444493018eab251e5774,Railway traffic - passenger-distance,Passenger-kilometers,6,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,58,Motor vehicles in use,SYB033,685f45c354964e199c6f7b043ffbff14,Motor vehicles in use: Commercial vehicles,Number of vehicles,3,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,58,Motor vehicles in use,SYB034,1c35d274546f460894ebb842389de646,Motor vehicles in use: Passenger cars,Number of vehicles,3,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,60,International maritime transport,SYB035,9dacceba74a14ddeb991f2c4b5f8a084,International maritime transport: Vessels cleared,Net registered tons,3,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,60,International maritime transport,SYB036,67e7c4507f504944a1e95ed64da925f4,International maritime transport: Vessels entered,Net registered tons,3,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,61,Civil aviation: scheduled airline traffic,SYB037,628af69abf17412c9ed41531cf5e43a0,Civil aviation: scheduled international airline traffic - distance flown,Kilometers ,6,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,61,Civil aviation: scheduled airline traffic,SYB038,daf06dca87624c4f9d07f9e99a740782,Civil aviation: scheduled international airline traffic - passenger-distance,Passenger-kilometers,6,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,61,Civil aviation: scheduled airline traffic,SYB039,e41b385906304f4398f737e65ecc2395,Civil aviation: scheduled international airline traffic - passengers carried,Number of passengers,3,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,61,Civil aviation: scheduled airline traffic,SYB040,562b628eb16b4241bab20acd1d1eae28,Civil aviation: scheduled international airline traffic - total weight-distance,Ton-kilometers,6,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,61,Civil aviation: scheduled airline traffic,SYB041,c9ba0efc5b13471f8de72bb83adec724,Civil aviation: total scheduled airline traffic - distance,Kilometers ,6,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,61,Civil aviation: scheduled airline traffic,SYB042,13179ba04be9443186c9f5edf9dad3f1,Civil aviation: total scheduled airline traffic - passenger-distance,Passenger-kilometers,6,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,61,Civil aviation: scheduled airline traffic,SYB043,5a449c541b25476d9ba1deb3f7136038,Civil aviation: total scheduled airline traffic - passengers carried,Number of passengers,3,,,,,,,,,,,,,,,,,,,,,,
,16,International tourism and transport,61,Civil aviation: scheduled airline traffic,SYB044,1a2f203243f24fcf892254d87c8b3403,Civil aviation: total scheduled airline traffic - total weight-distance,Ton-kilometers,6,,,,,,,,,,,,,,,,,,,,,,
,13,Environment,64,Land,SYB046,7038b4b16ad0487186524da1df58b413,Arable land area,Hectares,3,,,,,,,,,,,,,,,,,,,,,,
,13,Environment,64,Land,SYB048,6bc0bf63f61a45fdbb01ac2a5692ee40,Forest cover area,Hectares,3,,,,,,,,,,,,,,,,,,,,,,
,13,Environment,64,Land,SYB049,48a4a84dbdd640f48dea6795bb6e0f1f,Important sites for terrestrial biodiversity protected as percent of total sites protected,Percent,0,,,,,,,,,,,,,,,,,,,,,,
,13,Environment,64,Land,SYB052,b03884cce5cd4c6a8d713fb95fe16846,Permanent crops area,Hectares,3,,,,,,,,,,,,,,,,,,,,,,
,20,Energy,65,"Production, trade and supply of energy",SYB053,c1e65b470517439aa20cc885f9c00a79,Change in energy stocks,Petajoules,0,,,,,,,,,,,,,,,,,,,,,,
,20,Energy,65,"Production, trade and supply of energy",SYB055,17d2e797402744f5957179e55ae8a53c,Primary energy production,Petajoules,0,,,,,,,,,,,,,,,,,,,,,,
,20,Energy,65,"Production, trade and supply of energy",SYB056,fbbfb40c9c764ddbae5c618639a99685,Supply of energy per capita,Gigajoules,0,,,,,,,,,,,,,,,,,,,,,,
,20,Energy,65,"Production, trade and supply of energy",SYB057,c8e641cb9791484f8c4a2228967d999d,Total energy supply,Petajoules,0,,,,,,,,,,,,,,,,,,,,,,
,14,Science and technology,66,Population employed in research and development (R&D),SYB058,0155a072f23c40639c9c1f65b9667d89,Population employed in research and development (R&D),Number of full-time equivalent staff,0,,,,Other supporting staff,,,,,,,,,,,_T,Both sexes or no breakdown by sex,,,,,,
,14,Science and technology,66,Population employed in research and development (R&D),SYB058,0155a072f23c40639c9c1f65b9667d89,Population employed in research and development (R&D),Number of full-time equivalent staff,0,,,,Researchers,,,,,,,,,,,_T,Both sexes or no breakdown by sex,,,,,,
,14,Science and technology,66,Population employed in research and development (R&D),SYB058,0155a072f23c40639c9c1f65b9667d89,Population employed in research and development (R&D),Number of full-time equivalent staff,0,,,,Technicians,,,,,,,,,,,_T,Both sexes or no breakdown by sex,,,,,,
,14,Science and technology,66,Population employed in research and development (R&D),SYB058,0155a072f23c40639c9c1f65b9667d89,Population employed in research and development (R&D),Number of full-time equivalent staff,0,,,,Total,,,,,,,,,,,_T,Both sexes or no breakdown by sex,,,,,,
,14,Science and technology,66,Population employed in research and development (R&D),SYB058,0155a072f23c40639c9c1f65b9667d89,Population employed in research and development (R&D),Number of full-time equivalent staff,0,,,,Researchers,,,,,,,,,,,F,Female,,,,,,
,14,Science and technology,66,Population employed in research and development (R&D),SYB058,0155a072f23c40639c9c1f65b9667d89,Population employed in research and development (R&D),Number of full-time equivalent staff,0,,,,Other supporting staff,,,,,,,,,,,F,Female,,,,,,
,14,Science and technology,66,Population employed in research and development (R&D),SYB058,0155a072f23c40639c9c1f65b9667d89,Population employed in research and development (R&D),Number of full-time equivalent staff,0,,,,Technicians,,,,,,,,,,,F,Female,,,,,,
,14,Science and technology,67,Patents,SYB059,e44a82d6b21e41d790ea221489e2e05a,Grants of patents,Number,0,,,,,,,,,,,,,,,,,,,,,,
,14,Science and technology,67,Patents,SYB060,926e211d51d74533a30b4be0f429969f,Patents in force,Number,0,,,,,,,,,,,,,,,,,,,,,,
,14,Science and technology,67,Patents,SYB061,55e5021e5ed54ef693b0a3e83d463468,Resident patent filings,Number of patents per million population,0,,,,,,,,,,,,,,,,,,,,,,
,7,Finance,75,Exchange rates,SYB069,2ab2182d60cc430c92c51ce791ac7f3d,Exchange rate: period average,National currency per US dollar,0,,,,,,,,,,,,,,,,,,,,,,
,19,Development assistance,77,Net disbursements of official development assistance to recipients,SYB070,a95c6bddae19483f9ae696ee6473cfeb,Net disbursements of official development assistance received,US dollars,6,,,,,,,,,_T,Total,,,,,,,,,,,,
,19,Development assistance,77,Net disbursements of official development assistance to recipients,SYB070,a95c6bddae19483f9ae696ee6473cfeb,Net disbursements of official development assistance received,US dollars,6,,,,,,,,,BILATERAL,Bilateral,,,,,,,,,,,,
,19,Development assistance,77,Net disbursements of official development assistance to recipients,SYB070,a95c6bddae19483f9ae696ee6473cfeb,Net disbursements of official development assistance received,US dollars,6,,,,,,,,,MULTILATERAL,Multilateral,,,,,,,,,,,,
,19,Development assistance,77,Net disbursements of official development assistance to recipients,SYB071,868fe94fbfef470889b0c51a2f919fcc,Net disbursements of official development assistance received as percent of GNI,Percent of GNI,0,,,,,,,,,_T,Total,,,,,,,,,,,,
,2,Population and migration,78,International migrants and refugees,SYB073,d7f798f2a6cd46e2b6d9c09065f03de4,International migrant stock as percent of total population,Percent of total population,0,,,,,,,,,,,,,,,F,Female,,,,,,
,2,Population and migration,78,International migrants and refugees,SYB073,d7f798f2a6cd46e2b6d9c09065f03de4,International migrant stock as percent of total population,Percent of total population,0,,,,,,,,,,,,,,,M,Male,,,,,,
,2,Population and migration,78,International migrants and refugees,SYB074,1b32a522b98748ac8c040c4567b4061a,International migrant stock,Number,0,,,,,,,,,,,,,,,_T,Both sexes or no breakdown by sex,,,,,,
,2,Population and migration,78,International migrants and refugees,SYB075,a96325f096344e99a1b44d8a5c891b9e,Other population of concern to UNHCR,Number,0,,,,,,,,,,,,,,,,,,,,,,
,2,Population and migration,78,International migrants and refugees,SYB076,772a41a4477f4b1b81409dbad8fbac7a,Total population of concern to UNHCR,Number,0,,,,,,,,,,,,,,,,,,,,,,
,2,Population and migration,83,Population and rates of growth in urban areas and capital cities,SYB078,133574278815466b886afee49f3206b9,Capital city population as percent of total population,Percent of total population,0,,,,,,,,,,,,,,,,,,,,,,
,2,Population and migration,83,Population and rates of growth in urban areas and capital cities,SYB079,966aa129360f4f9a8081dd4d0d4e219f,Capital city population as percent of total urban population,Percent of total urban population,0,,,,,,,,,,,,,,,,,,,,,,
,2,Population and migration,83,Population and rates of growth in urban areas and capital cities,SYB080,7a7b7cc9beff4fd5b40f8d487a1e23b6,Capital city population,Number,3,,,,,,,,,,,,,,,,,,,,,,
,2,Population and migration,83,Population and rates of growth in urban areas and capital cities,SYB081,b95285b0546841fa917c197a6dd73c1e,Population growth rate per annum,Percent,0,,,,,,,,,,,R,Rural,,,,,,,,,,
,2,Population and migration,83,Population and rates of growth in urban areas and capital cities,SYB081,b95285b0546841fa917c197a6dd73c1e,Population growth rate per annum,Percent,0,,,,,,,,,,,U,Urban,,,,,,,,,,
,13,Environment,84,Water supply and sanitation services,SYB083,,Proportion of population with access to Improved drinking water sources,Percent,0,,,,,,,,,,,_T,Total,,,,,,,,,,
,13,Environment,84,Water supply and sanitation services,SYB083,,Proportion of population with access to Improved drinking water sources,Percent,0,,,,,,,,,,,R,Rural,,,,,,,,,,
,13,Environment,84,Water supply and sanitation services,SYB083,,Proportion of population with access to Improved drinking water sources,Percent,0,,,,,,,,,,,U,Urban,,,,,,,,,,
,13,Environment,84,Water supply and sanitation services,SYB084,,Proportion of population with access to improved sanitation facilities,Percent,0,,,,,,,,,,,_T,Total,,,,,,,,,,
,13,Environment,84,Water supply and sanitation services,SYB084,,Proportion of population with access to improved sanitation facilities,Percent,0,,,,,,,,,,,R,Rural,,,,,,,,,,
,13,Environment,84,Water supply and sanitation services,SYB084,,Proportion of population with access to improved sanitation facilities,Percent,0,,,,,,,,,,,U,Urban,,,,,,,,,,
,13,Environment,84,Water supply and sanitation services,SYB085,a5a5fa906d2143919125fe9cbd1c669f,Proportion of population with access to safely managed drinking water sources,Percent,0,,,,,,,,,,,_T,Total,,,,,,,,,,
