,Goal,regionCode,regionName,avg_n_countries_available,avg_median_max_year,avg_median_n_years,avg_median_n_timeSeries,avg_n_dimensions,avg_median_values_per_dim,mean_data_for_female,n_countries_total
134,'7,753,Eastern and South-Eastern Asia,15,2017.125,18.875,1.25,0.125,3,0,16
135,'8,1,World,115.875,2016.951389,9.159722222,4.958333333,1,4.257255802,0.741136372,194
136,'8,53,Australia and New Zealand,1.354166667,2017.666667,11.79166667,3.925,0.8,5.001166757,0.65,2
137,'8,62,Central and Southern Asia,8.3125,2017.003472,9.118055556,5.208333333,1,4.294596832,0.737012987,14
138,'8,202,Sub-Saharan Africa,29.16666667,2016.274306,7.857638889,3.916666667,1,3.832875288,0.68537415,48
139,'8,419,Latin America and the Caribbean,21.08333333,2017.034722,10.24305556,3.833333333,1,3.989743319,0.730990783,33
140,'8,513,Europe and Northern America,28.125,2016.888889,10.95138889,6.03125,1,4.727782391,0.777661064,45
141,'8,543,Oceania (excluding Australia and New Zealand),4.5625,2016.219697,9.015151515,3.909090909,1,3.910683603,0.652777778,12
142,'8,747,Northern Africa and Western Asia,13.3125,2017.076389,9.680555556,5.166666667,1,4.41920845,0.726190476,24
143,'8,753,Eastern and South-Eastern Asia,9.958333333,2017.513889,9.451388889,4.9375,1,4.289406655,0.666836735,16
144,'9,1,World,146.0833333,2017.1875,12.75,1.208333333,0.083333333,3.5,0,194
145,'9,53,Australia and New Zealand,1.5,2016.892857,13.60714286,1.238095238,0.095238095,3.5,0,2
146,'9,62,Central and Southern Asia,11,2017.125,11.70833333,1.208333333,0.083333333,3.5,0,14
147,'9,202,Sub-Saharan Africa,33.96875,2016.5,10.1875,1.208333333,0.083333333,3.5,0,48
148,'9,419,Latin America and the Caribbean,25.65625,2016.90625,12.58333333,1.208333333,0.083333333,3.5,0,33
149,'9,513,Europe and Northern America,35.40625,2017.21875,14.3125,1.208333333,0.083333333,3.5,0,45
150,'9,543,Oceania (excluding Australia and New Zealand),5.90625,2015.77381,8.30952381,1.238095238,0.095238095,3.5,0,12
151,'9,747,Northern Africa and Western Asia,19.625,2017.125,11.82291667,1.208333333,0.083333333,3.5,0,24
152,'9,753,Eastern and South-Eastern Asia,13.02083333,2017.25,12.20833333,1.208333333,0.083333333,3.5,0,16
9,'10,1,World,126.0684524,2017.625,7.589285714,3.375,0.625,4.8,0,194
10,'10,53,Australia and New Zealand,1.06547619,2017.666667,9.833333333,4.166666667,0.666666667,5.75,0,2
11,'10,62,Central and Southern Asia,9.794642857,2017.625,6.5,3.3125,0.625,4.7,0,14
12,'10,202,Sub-Saharan Africa,31.24107143,2017.5,7.375,3.375,0.625,4.8,0,48
13,'10,419,Latin America and the Caribbean,21.13690476,2017.75,7.642857143,3.375,0.625,4.8,0,33
14,'10,513,Europe and Northern America,31.52678571,2017.625,7.3125,3.375,0.625,4.8,0,45
15,'10,543,Oceania (excluding Australia and New Zealand),6.169642857,2017.714286,8.285714286,3.142857143,0.571428571,4.75,0,12
16,'10,747,Northern Africa and Western Asia,14.7797619,2017.625,7.5625,3.25,0.625,4.6,0,24
17,'10,753,Eastern and South-Eastern Asia,10.35416667,2017.75,7.330357143,3.375,0.625,4.8,0,16
18,'11,1,World,115.8916667,2016.177083,3.247916667,1.125,0.25,1.5,0,194
19,'11,53,Australia and New Zealand,1.45,2017.145833,2.6875,2,0.333333333,4,0,2
20,'11,62,Central and Southern Asia,9.475,2016.3625,2.697916667,1.125,0.25,1.5,0,14
21,'11,202,Sub-Saharan Africa,31.78333333,2016.2375,4.145833333,1.125,0.25,1.5,0,48
22,'11,419,Latin America and the Caribbean,21.8375,2015.702083,4.34375,1.125,0.25,1.5,0,33
23,'11,513,Europe and Northern America,23.43333333,2016.6125,1.741666667,1.125,0.25,1.5,0,45
24,'11,543,Oceania (excluding Australia and New Zealand),4.204166667,2014.89375,1.939583333,1.125,0.25,1.5,0,12
25,'11,747,Northern Africa and Western Asia,13.9125,2016.085417,2.99375,1.125,0.25,1.5,0,24
26,'11,753,Eastern and South-Eastern Asia,9.795833333,2016.5375,4.247916667,1.125,0.25,1.5,0,16
27,'12,1,World,82.86796537,2017.931818,7.541414141,3.515151515,0.207575758,6.666666667,0,194
28,'12,53,Australia and New Zealand,0.874025974,2017.946667,8.806666667,4.2,0.2,17,0,2
29,'12,62,Central and Southern Asia,6.036363636,2017.945707,6.700505051,3.507575758,0.207575758,6.333333333,0,14
30,'12,202,Sub-Saharan Africa,16.23290043,2017.758838,6.560353535,3.374242424,0.207575758,6.333333333,0,48
31,'12,419,Latin America and the Caribbean,15.16277056,2017.582071,7.227020202,3.5,0.207575758,6,0,33
32,'12,513,Europe and Northern America,25.65454545,2017.931818,7.541414141,3.748484848,0.207575758,7.666666667,0,45
33,'12,543,Oceania (excluding Australia and New Zealand),2.159307359,2017.604167,9.626041667,4,0.265625,7,0,12
34,'12,747,Northern Africa and Western Asia,10.26883117,2017.765152,6.973232323,3.678030303,0.207575758,6.833333333,0,24
35,'12,753,Eastern and South-Eastern Asia,6.479220779,2017.969697,7.882323232,3.678030303,0.22979798,6.833333333,0,16
36,'13,1,World,89.97777778,2017.65,3.683333333,1,0,,,194
37,'13,53,Australia and New Zealand,1.866666667,2017.958333,3.375,1,0,,,2
38,'13,62,Central and Southern Asia,7.933333333,2017.966667,2.95,1,0,,,14
39,'13,202,Sub-Saharan Africa,21.28888889,2017.633333,3.411111111,1,0,,,48
40,'13,419,Latin America and the Caribbean,14.56666667,2017.05,5.683333333,1,0,,,33
41,'13,513,Europe and Northern America,20.53333333,2017.633333,2.311111111,1,0,,,45
42,'13,543,Oceania (excluding Australia and New Zealand),3.033333333,2016.075,2.675,1,0,,,12
43,'13,747,Northern Africa and Western Asia,11.78888889,2017.227778,3.361111111,1,0,,,24
44,'13,753,Eastern and South-Eastern Asia,8.966666667,2017.7,4.55,1,0,,,16
45,'14,1,World,90.22222222,2018.066667,3.766666667,2.5,0.2,8.5,0,194
46,'14,53,Australia and New Zealand,1.333333333,2018.333333,4.208333333,2.875,0.25,8.5,0,2
47,'14,62,Central and Southern Asia,5.888888889,2018.111111,3.111111111,1,0,,,14
48,'14,202,Sub-Saharan Africa,20.33333333,2017.333333,2.583333333,1,0,,,48
49,'14,419,Latin America and the Caribbean,15.16666667,2017.583333,3.333333333,1,0,,,33
50,'14,513,Europe and Northern America,22.61111111,2017.966667,3.366666667,2.1,0.2,6.5,0,45
51,'14,543,Oceania (excluding Australia and New Zealand),5.666666667,2018.111111,3.111111111,1,0,,,12
52,'14,747,Northern Africa and Western Asia,11.72222222,2017.833333,3.083333333,1,0,,,24
53,'14,753,Eastern and South-Eastern Asia,7.5,2017.833333,3.583333333,1,0,,,16
54,'15,1,World,149.06,2016.93,9.41,1,0.05,1,0,194
55,'15,53,Australia and New Zealand,1.5,2017.088889,10.32222222,1,0.055555556,1,0,2
56,'15,62,Central and Southern Asia,11.295,2016.93,9.41,1,0.05,1,0,14
57,'15,202,Sub-Saharan Africa,38.87,2016.93,9.41,1,0.05,1,0,48
58,'15,419,Latin America and the Caribbean,24.8,2016.93,9.41,1,0.05,1,0,33
59,'15,513,Europe and Northern America,34.4,2016.93,9.31,1,0.05,1,0,45
60,'15,543,Oceania (excluding Australia and New Zealand),7.94,2016.93,9.41,1,0.05,1,0,12
61,'15,747,Northern Africa and Western Asia,17.925,2016.93,9.41,1,0.05,1,0,24
62,'15,753,Eastern and South-Eastern Asia,12.33,2016.93,9.16,1,0.05,1,0,16
63,'16,1,World,99.12222222,2015.994753,3.332407407,1.881481481,0.592592593,2.299336164,0.278449509,194
64,'16,53,Australia and New Zealand,1.014814815,2016.875397,4.916666667,2.463492063,0.738095238,2.993875139,0.393333333,2
65,'16,62,Central and Southern Asia,7.914814815,2016.275926,3.706481481,1.781481481,0.62962963,2.199202258,0.244312169,14
66,'16,202,Sub-Saharan Africa,24.93333333,2016.226235,3.063271605,1.759259259,0.592592593,2.187536835,0.217883598,48
67,'16,419,Latin America and the Caribbean,17.94074074,2015.658642,3.144753086,1.87654321,0.592592593,2.273929739,0.264281205,33
68,'16,513,Europe and Northern America,24.11358025,2015.547222,3.728395062,2.020987654,0.592592593,2.653481776,0.348194858,45
69,'16,543,Oceania (excluding Australia and New Zealand),4.414814815,2014.083333,2.666666667,1.5,0.5,2.125,0.083333333,12
70,'16,747,Northern Africa and Western Asia,11.05802469,2015.624691,3.124691358,1.780246914,0.592592593,2.082260235,0.226493183,24
71,'16,753,Eastern and South-Eastern Asia,7.732098765,2016.401235,3.22037037,1.825925926,0.592592593,2.284604257,0.255731922,16
72,'17,1,World,119.2297619,2017.55641,12.98461538,2.076923077,0.307692308,4.5,0,194
73,'17,53,Australia and New Zealand,1.178571429,2017.731667,10.83,1.9,0.3,4,0,2
74,'17,62,Central and Southern Asia,9.657142857,2017.5,12.125,2.166666667,0.333333333,4.5,0,14
75,'17,202,Sub-Saharan Africa,32.55119048,2017.513889,12.20833333,2.166666667,0.333333333,4.5,0,48
76,'17,419,Latin America and the Caribbean,21.06071429,2017.569444,12.85416667,2.166666667,0.333333333,4.5,0,33
77,'17,513,Europe and Northern America,22.54166667,2017.602778,12.9,1.75,0.25,4,0,45
78,'17,543,Oceania (excluding Australia and New Zealand),7.44047619,2017.541667,10.89583333,1.833333333,0.333333333,3.5,0,12
79,'17,747,Northern Africa and Western Asia,14.72857143,2017.590278,12.29166667,2.25,0.333333333,4.75,0,24
80,'17,753,Eastern and South-Eastern Asia,10.07142857,2017.678205,13.17692308,2.153846154,0.307692308,4.75,0,16
