series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	typeOfSkill_code	typeOfSkill_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	276	Germany	0.70824					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	300	Greece	0.97385					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2015				4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	300	Greece	0.93667					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2015				4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	36	Australia	0.90779					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	53	Australia and New Zealand	Country	134.3499412	-25.57717202	AUS	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	36	Australia	0.91051					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	53	Australia and New Zealand	Country	134.3499412	-25.57717202	AUS	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	372	Ireland	0.97201					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	154	Northern Europe	Country	-7.121425272	53.25274054	IRL	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	372	Ireland	1.03248					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	154	Northern Europe	Country	-7.121425272	53.25274054	IRL	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	376	Israel	0.90924					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2015				4	145	Western Asia	Country	34.62277992	31.06164552	ISR	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	376	Israel	0.86465					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2015				4	145	Western Asia	Country	34.62277992	31.06164552	ISR	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	380	Italy	0.77817					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	39	Southern Europe	Country	12.57022427	42.79917282	ITA	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	380	Italy	0.84878					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	39	Southern Europe	Country	12.57022427	42.79917282	ITA	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	40	Austria	0.7676					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	155	Western Europe	Country	14.14172472	47.58704857	AUT	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	40	Austria	0.76559					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	155	Western Europe	Country	14.14172472	47.58704857	AUT	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	410	Republic of Korea	0.71318					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	30	Eastern Asia	Country	127.8610254	36.45201023	KOR	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	410	Republic of Korea	0.71037					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	30	Eastern Asia	Country	127.8610254	36.45201023	KOR	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	440	Lithuania	0.90811					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2015				4	154	Northern Europe	Country	23.90517807	55.33680309	LTU	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	440	Lithuania	0.93376					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2015				4	154	Northern Europe	Country	23.90517807	55.33680309	LTU	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	528	Netherlands	0.69597					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	155	Western Europe	Country	5.331480568	51.86728884	NLD	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	528	Netherlands	0.68326					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	155	Western Europe	Country	5.331480568	51.86728884	NLD	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	554	New Zealand	0.9604					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2015				4	53	Australia and New Zealand	Country	170.4755673	-43.98721568	NZL	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	554	New Zealand	0.93468					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2015				4	53	Australia and New Zealand	Country	170.4755673	-43.98721568	NZL	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	56	Belgium	0.76798					Flemish Region only. Programme for the International Assessment of Adult Competencies (PIACC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	155	Western Europe	Country	4.660976456	50.64104975	BEL	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	56	Belgium	0.71704					Flemish Region only. Programme for the International Assessment of Adult Competencies (PIACC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	155	Western Europe	Country	4.660976456	50.64104975	BEL	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	578	Norway	0.71197					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	154	Northern Europe	Country	11.47846389	61.34311134	NOR	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	578	Norway	0.67671					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	154	Northern Europe	Country	11.47846389	61.34311134	NOR	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	643	Russian Federation	0.91855					The sample excludes the population of the Moscow municipal area. Programme for the International Assessment of Adult Competencies (PIACC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	151	Eastern Europe	Country	99.01404926	61.61899849	RUS	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	643	Russian Federation	0.89972					The sample excludes the population of the Moscow municipal area. Programme for the International Assessment of Adult Competencies (PIACC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	151	Eastern Europe	Country	99.01404926	61.61899849	RUS	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	702	Singapore	0.97842					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2015				4	35	South-Eastern Asia	Country	103.8107883	1.361009155	SGP	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	702	Singapore	1.02106					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2015				4	35	South-Eastern Asia	Country	103.8107883	1.361009155	SGP	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	703	Slovakia	0.97845					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	151	Eastern Europe	Country	19.48495604	48.70741446	SVK	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	703	Slovakia	0.93639					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	151	Eastern Europe	Country	19.48495604	48.70741446	SVK	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	705	Slovenia	0.67954					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2015				4	39	Southern Europe	Country	14.82209486	46.11958061	SVN	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	705	Slovenia	0.7442					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2015				4	39	Southern Europe	Country	14.82209486	46.11958061	SVN	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	724	Spain	0.77081					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	39	Southern Europe	Country	-3.554078296	40.39211472	ESP	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	724	Spain	0.77117					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	39	Southern Europe	Country	-3.554078296	40.39211472	ESP	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	752	Sweden	0.62251					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	154	Northern Europe	Country	14.3775338	60.60103109	SWE	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	752	Sweden	0.63196					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	154	Northern Europe	Country	14.3775338	60.60103109	SWE	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	840	United States of America	0.69541					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_LTRCY	Literacy	G	Global	2012				4	21	Northern America	Country	-99.13830311	39.5277871	USA	1	1
SE_IMP_FPOF	Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)	840	United States of America	0.70032					Programme for the International Assessment of Adult Competencies (PIAAC)		C	Country data	RO	Ratio	SKILL_NMRCY	Numeracy	G	Global	2012				4	21	Northern America	Country	-99.13830311	39.5277871	USA	1	1
