series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	modeOfTransportation_code	modeOfTransportation_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	145	Western Asia	891.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	891,593,464,204			3	142	Asia	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	145	Western Asia	47.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	47,260,997,871			3	142	Asia	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	148	Chad	3.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	3,639			5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	148	Chad	7.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	7,070,856,568			5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	15	Northern Africa	719.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	719,376,279,624			3	2	Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	15	Northern Africa	2.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	2,924,669,441			3	2	Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	15	Northern Africa	58.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	58,707,534,368			3	2	Africa	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	150	Europe	5.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	5,117,673,155,371			2	1	World	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	150	Europe	736.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	736,372,168,005			2	1	World	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	150	Europe	1.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	1,853,740,102,096			2	1	World	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	151	Eastern Europe	46.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	46,786,306,721			3	150	Europe	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	151	Eastern Europe	288.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	288,074,814,735			3	150	Europe	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	151	Eastern Europe	1.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	1,650,992,093,463			3	150	Europe	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	152	Chile	1.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	1,080,268,493			5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	152	Chile	71.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	71,993,844,118			5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	154	Northern Europe	139.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	139,942,899,119			3	150	Europe	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	154	Northern Europe	662.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	662,911,692,194			3	150	Europe	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	154	Northern Europe	743.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	743,652,753,663			3	150	Europe	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	155	Western Europe	393.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_RAI	Rail transport	G	Global	2017	393,169,961,713			3	150	Europe	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	155	Western Europe	677.0					ICAO		C	Country data	P_KM	Passenger kilometres	MOT_AIR	Air transport	G	Global	2017	677,023,422,158			3	150	Europe	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	155	Western Europe	1.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	1,503,214,582,258			3	150	Europe	Region					
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	156	China	4.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Passenger kilometres	MOT_ROA	Road transport	G	Global	2017	4,053,259,514,571			4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1
