goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	28	Antigua and Barbuda	5	29	Caribbean	Country	-61.7999755	17.07761471	ATG	1	1			[2015]	2015	2015	1	PT	Percentage	G	Global						106.695006					106.695006				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	300	Greece	4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								30.807533			30.807533				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1			[2013]	2013	2013	1	PT	Percentage	G	Global				2.868941							2.868941				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	340	Honduras	5	13	Central America	Country	-86.59974381	14.82243161	HND	1	1			[2015]	2015	2015	1	PT	Percentage	G	Global						0.973926					0.973926				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	344	China, Hong Kong Special Administrative Region	4	30	Eastern Asia	Country	114.0266445	22.41749934	HKG	0	1			[2013]	2013	2013	1	PT	Percentage	G	Global				41.00431							41.00431				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	348	Hungary	4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								50.849957			50.849957				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	352	Iceland	4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								71.127316			71.127316				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	356	India	4	34	Southern Asia	Country	79.3608464	22.34642074	IND	1	1			[2016]	2016	2016	1	PT	Percentage	G	Global							1.331029				1.331029				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	36	Australia	4	53	Australia and New Zealand	Country	134.3499412	-25.57717202	AUS	1	1			[2018]	2018	2018	1	PT	Percentage	G	Global									10.609884		10.609884				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	372	Ireland	4	154	Northern Europe	Country	-7.121425272	53.25274054	IRL	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								58.814353			58.814353				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	380	Italy	4	39	Southern Europe	Country	12.57022427	42.79917282	ITA	1	1			[2016]	2016	2016	1	PT	Percentage	G	Global							34.120348				34.120348				Environment Live / UNU		E: Estimated data
