goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			[2001, 2004, 2005, 2006, 2007, 2008, 2011, 2012, 2014, 2015, 2016, 2017, 2018]	2001	2018	13	PT	Percentage	G	Global		90.0			86.0	85.0	87.0	91.0	96.0			96.0	96.0		98.44	98.76	98.76	99.34	99.34	99.34			[2012]: All municipalities centers are covered	[2001,2004-2007]: ITU // [2008,2011-2012,2014-2015]: Agencia Nacional das ComunicaĂ§oes // [2016-2018]: AgĂŞncia Reguladora Multissetorial da Economia - ARME		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1			[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2004	2017	14	PT	Percentage	G	Global					99.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0		100.0				[2004-2006]: ITU // [2007]: Information and Communications Technology Authority // [2008-2015]: Information and Communications Technology Authority // [2016-2017]: Utility Regulation and Competition Office		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	14	Eastern Africa	4	202	Sub-Saharan Africa	Region								[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		20.43423	28.20111	34.07286	36.20677	42.22777	47.10457	52.34979	58.49446	59.86024	61.62977	86.86445	84.97332	84.39872	88.36039	87.01568	88.00187	88.57663	89.11601	89.11601				Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			[2001, 2005, 2006, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018]	2001	2018	11	PT	Percentage	G	Global		17.8				19.3	19.3				55.0	56.0	63.0		62.0	59.0	58.0	59.44	57.08	57.08			[2018]: Augmentation de la population, mais stagnation du niveau de couverture	[2001,2005-2006]: ITU // [2010-2012,2014-2015]: Agence de RĂŠgulation des TĂŠlĂŠcommunications (ART) // [2016-2018]: AUTORITE DE REGULATION DES COMMUNICATIONS ELECTRONIQUES ET DE LA POSTE		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	143	Central Asia	3	142	Asia	Region								[2001, 2002, 2003, 2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2017, 2018]	2001	2018	16	PT	Percentage	G	Global		51.93608	62.453	65.5795	60.22593	60.23715		67.76289	83.22247	85.04488	86.85215	94.10485	93.55242	93.57199	94.17183		95.11042	96.73053	96.84953	96.84953				Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			[2001, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018]	2001	2018	15	PT	Percentage	G	Global		57.9			80.0	85.0	90.0	90.0	95.0	96.0	98.0	98.0	98.0	98.0		98.96	99.0	99.72	99.0	99.0			[2012]: Mobitel Data // [2017]: Telecommunications Regulatory Commission of Sri Lanka	[2001,2004-2008]: MTN Networks. // [2009-2010,2012-2013,2016-2018]: Telecommunications Regulatory Commission of Sri Lanka // [2011]: ITU estimate. // [2015]: ITU		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	145	Western Asia	3	142	Asia	Region								[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		83.92814	83.61231	91.81406	91.30913	89.57909	91.16509	91.677	92.9525	94.13264	94.48273	96.89422	97.01531	96.44927	96.4526	95.86304	96.91623	98.2639	98.45356	98.45356				Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			[2001, 2005, 2006, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	12	PT	Percentage	G	Global		7.7				23.8	24.0				25.2	31.1	84.0	85.0	86.0	86.0	86.0	86.0	86.0	86.0				[2001,2005-2006]: ITU // [2010-2013]: Office Tchadien de RĂŠgulation des TĂŠlĂŠcommunications // [2014-2015]: AutoritĂŠ de RĂŠgulation des Communications Ălectroniques et des Postes // [2016-2018]: ARCEP Tchad		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	15	Northern Africa	3	2	Africa	Region								[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2002	2018	17	PT	Percentage	G	Global			50.15168	55.78698	57.93248	71.83924	76.04751	87.1397	88.36333	89.15861	93.94174	94.19063	97.12386	97.39491	97.43745	96.32427	97.02292	97.01878	97.09633	97.09633				Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	150	Europe	2	1	World	Region								[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		94.79133	95.64609	96.11501	97.95326	98.53233	97.79131	97.93567	98.20739	98.29586	99.37447	99.4303	99.45919	99.57891	99.59675	97.53791	97.727	97.95205	97.96457	97.96457				Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017, 2018]	2000	2018	18	PT	Percentage	G	Global	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	95.0		96.0	96.0	96.0	96.0	99.0	99.0			[2012]: Break in comparability: from this year calculated from data on the geographic location of antennas within the country. // [2014-2017]: Estimate.	[2000-2006,2012]: ITU // [2007-2009]: Subtel // [2010-2011,2014-2018]: SubsecretarĂ­a de Telecomunicaciones		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			[2000, 2001, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	16	PT	Percentage	G	Global	50.0	50.0				95.0	95.0	97.19	98.68	99.46	99.46	99.46	99.46	99.46	99.5	99.5	99.5	99.5	99.9	99.9			[2014-2015]: Based on data published by China Mobile.	[2000,2005]: ITU Estimate. // [2001,2006,2010-2013]: ITU // [2007-2009]: Ministry of Industry and Information Technology // [2014-2015]: ITU estimate. // [2016-2018]: MIIT		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	158	Other non-specified areas in Eastern Asia	4	30	Eastern Asia	Country								[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0				[2000-2006]: ITU // [2007-2018]: National Communications Commission		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	17	Middle Africa	4	202	Sub-Saharan Africa	Region								[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2001	2018	18	PT	Percentage	G	Global		28.43479	27.90332	29.48442	37.74075	46.51143	46.65702	46.73568	46.85554	47.79432	49.18172	50.40123	57.63985	64.73528	67.79055	68.80388	67.30887	67.62752	70.19541	70.19541				Data based on the World Telecommunication/ICT Indicators Database, 2019, International Telecommunication Union (ITU)		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			[2004, 2005, 2006, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2004	2018	10	PT	Percentage	G	Global					80.0	82.0	83.0						100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0			[2012]: Source: Agencia Nacional del Espectro. ANE. // [2013]: Source: Agencia nacional del Espectro. ANE // [2014]: Source: Agencia Nacional del Espectro.ANE // [2015]: Source: Sistema de InformaciĂłn Integral - Colombia TIC. // [2016]: Source: Colombia TIC // [2017-2018]: Source: Colombia TIC, Se infiere toda la poblaciĂłn de los municipios a las cabeceras municipales de acuerdo a la desagraciacion poblacional provista por la Entidad EstadĂ­stica Nacional	[2004-2006]: ITU // [2012-2018]: Ministerio de TecnologĂ­as de la InformaciĂłn y las Comunicaciones		_X: Data nature not available
9	Goal 9	Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation	9.c	Significantly increase access to information and communications technology and strive to provide universal and affordable access to the Internet in least developed countries by 2020	C090c01	9.c.1	Proportion of population covered by a mobile network, by technology	2020.Q2.G.03	['means of implementation', 'information and communication technology (ict)', 'physical infrastructure', 'mobile telecommunication services', 'information socierty']	IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	174	Comoros	5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1			[2006, 2017, 2018]	2006	2018	3	PT	Percentage	G	Global							40.0											90.85	90.85	90.85			[2017]: La valeur de cet indicateur est obtenu en agrĂŠgeant les donnĂŠes des deux opĂŠrateurs	[2006]: ITU // [2017-2018]: ANRTIC		_X: Data nature not available
