series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	296	Kiribati	4	57	Micronesia	Country	-157.5643005	1.768837732	KIR	1	1	[2013, 2014, 2015, 2016, 2017]	2013	2017	5
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	30	Eastern Asia	3	142	Asia	Region						[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	300	Greece	4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	10
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	304	Greenland	4	21	Northern America	Country	-41.39371316	74.75625681	GRL	0	1	[2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016]	2007	2016	9
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	308	Grenada	5	29	Caribbean	Country	-61.68248568	12.11238395	GRD	1	1	[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	31	Azerbaijan	4	145	Western Asia	Country	50.01064725	40.39229544	AZE	1	1	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2009	2017	9
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	316	Guam	4	57	Micronesia	Country	144.7029305	13.35485404	GUM	0	1	[2012, 2013, 2014, 2015, 2016]	2012	2016	5
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	320	Guatemala	5	13	Central America	Country	-91.2312746	15.00273719	GTM	1	1	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	324	Guinea	5	11	Western Africa	Country	-11.28173419	11.00210343	GIN	1	1	[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	328	Guyana	5	5	South America	Country	-58.97322037	4.788012784	GUY	1	1	[2007, 2008, 2009, 2010, 2011, 2014, 2015, 2016, 2017]	2007	2017	9
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	332	Haiti	5	29	Caribbean	Country	-72.33640958	18.40426539	HTI	1	1	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	34	Southern Asia	3	142	Asia	Region						[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	340	Honduras	5	13	Central America	Country	-86.59974381	14.82243161	HND	1	1	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	344	China, Hong Kong Special Administrative Region	4	30	Eastern Asia	Country	114.0266445	22.41749934	HKG	0	1	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2009	2017	9
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	348	Hungary	4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1	[2008, 2009, 2010, 2011, 2012, 2014, 2015, 2016, 2017]	2008	2017	9
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	35	South-Eastern Asia	3	142	Asia	Region						[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	352	Iceland	4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1	[2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2007	2017	10
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	356	India	4	34	Southern Asia	Country	79.3608464	22.34642074	IND	1	1	[2007, 2008, 2009, 2012, 2013, 2014, 2015, 2016, 2017]	2007	2017	9
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	36	Australia	4	53	Australia and New Zealand	Country	134.3499412	-25.57717202	AUS	1	1	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	10
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	360	Indonesia	4	35	South-Eastern Asia	Country	113.9174	-0.994582204	IDN	1	1	[2014, 2015, 2016, 2017]	2014	2017	4
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	364	Iran (Islamic Republic of)	4	34	Southern Asia	Country	54.19766348	32.74370885	IRN	1	1	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8
IT_MOB_3GNTWK	Proportion of population covered by at least a 3G mobile network (%)	368	Iraq	4	145	Western Asia	Country	43.76606267	33.05013795	IRQ	1	1	[2012, 2013, 2014, 2015, 2016, 2017]	2012	2017	6
