series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	age_code	age_desc	sex_code	sex_desc	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2011, 2012, 2013, 2014, 2015, 2016, 2017]	2011	2017	7	NUMBER	Number	G	Global									54.0	72.0	300.0	147.0	183.0	157.0	25.0	25.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	NUMBER	Number	G	Global								50.0	96.0	114.0	86.0	75.0	35.0	54.0	68.0	68.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2007	2017	11	NUMBER	Number	G	Global					49.0	78.0	51.0	72.0	68.0	70.0	84.0	86.0	45.0	49.0	28.0	28.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2008	2017	10	NUMBER	Number	G	Global						55.0	78.0	57.0	61.0	23.0	24.0	2.0	13.0	10.0	10.0	10.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	24	Angola	5	17	Middle Africa	Country	17.57817062	-12.33724746	AGO	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2009, 2010]	2009	2010	2	NUMBER	Number	G	Global							15.0	7.0								7.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	242	Fiji	4	54	Melanesia	Country	177.9660884	-17.83301566	FJI	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2012, 2014]	2012	2014	2	NUMBER	Number	G	Global										3.0		3.0				3.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2007	2017	11	NUMBER	Number	G	Global					5.0	16.0	17.0	48.0	56.0	53.0	56.0	50.0	52.0	130.0	56.0	56.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2015, 2016]	2015	2016	2	NUMBER	Number	G	Global													1432.0	1516.0		1516.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	262	Djibouti	5	14	Eastern Africa	Country	42.18274707	11.56004161	DJI	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2014, 2015, 2016, 2017]	2014	2017	4	NUMBER	Number	G	Global												0.0	0.0	0.0	0.0	0.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	266	Gabon	5	17	Middle Africa	Country	11.78727747	-0.60687619	GAB	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2010]	2010	2010	1	NUMBER	Number	G	Global								140.0								140.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
VC_HTF_DETV	Detected victims of human trafficking, by age and sex (number)	268	Georgia	4	145	Western Asia	Country	43.3713615	42.04813028	GEO	1	1	_T	All age ranges or no breaks by age	_T	Both sexes	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	NUMBER	Number	G	Global								18.0	6.0	8.0	35.0	9.0	8.0	1.0	3.0	3.0			Data in reference to one country but derived from different types of sources should not be compared between them.\n	GLOTIP Database		C: Country data
