series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type	Sampling Stations
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2016.0	8.00793	Float			8.0960	7.9560		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Wellington | LATITUDE: -41.301 | LONGITUDE: 174.808']	C	PH	G	WELLINGTON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2016.0	7.98835	Float			8.1090	7.8090		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Golden Bay | LATITUDE: -40.63 | LONGITUDE: 172.716']	C	PH	G	GOLDENBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2016.0	8.05008	Float			8.1750	7.9510		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Westcoast/Jackson Bay | LATITUDE: -43.973 | LONGITUDE: 168.616']	C	PH	G	WESTCOAST-JACKSONBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2016.0	7.95211	Float			8.0510	7.8140		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Marlborough Sounds | LATITUDE: -40.946 | LONGITUDE: 173.987']	C	PH	G	MARLBOROUGHSOUNDS
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2016.0	8.01504	Float			8.1170	7.9310		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Tasman Bay | LATITUDE: -41.191 | LONGITUDE: 173.349']	C	PH	G	TASMANBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2016.0	8.04891	Float			8.1640	7.9600		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Stewart Island | LATITUDE: -46.925 | LONGITUDE: 168.131']	C	PH	G	STEWARTISLAND
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2016.0	8.03988	Float			8.1390	7.9120		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Dunedin Pylon | LATITUDE: -45.78 | LONGITUDE: 170.72']	C	PH	G	DUNEDINPYLON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2016.0	8.03071	Float			8.1680	7.9440		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Bay of Plenty | LATITUDE: -37.669 | LONGITUDE: 176.1774']	C	PH	G	BAYOFPLENTY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2016.0	7.95817	Float			8.0830	7.8690		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Auckland | LATITUDE: -36.823 | LONGITUDE: 174.724']	C	PH	G	AUCKLAND
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2016.0	8.00743	Float			8.0930	7.8130		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Chatham Islands | LATITUDE: -43.946 | LONGITUDE: 176.56']	C	PH	G	CHATHAMISLANDS
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2017.0	8.00886	Float			8.1970	7.8870		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Chatham Islands | LATITUDE: -43.946 | LONGITUDE: 176.56']	C	PH	G	CHATHAMISLANDS
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2017.0	8.03067	Float			8.1280	7.9740		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Bay of Plenty | LATITUDE: -37.669 | LONGITUDE: 176.1774']	C	PH	G	BAYOFPLENTY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2017.0	7.93983	Float			8.0120	7.8700		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Auckland | LATITUDE: -36.823 | LONGITUDE: 174.724']	C	PH	G	AUCKLAND
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2017.0	8.02400	Float			8.1370	7.7680		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Stewart Island | LATITUDE: -46.925 | LONGITUDE: 168.131']	C	PH	G	STEWARTISLAND
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2017.0	8.00580	Float			8.1090	7.8780		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Golden Bay | LATITUDE: -40.63 | LONGITUDE: 172.716']	C	PH	G	GOLDENBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2017.0	8.07056	Float			8.1230	7.9650		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Westcoast/Jackson Bay | LATITUDE: -43.973 | LONGITUDE: 168.616']	C	PH	G	WESTCOAST-JACKSONBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2017.0	8.00650	Float			8.1450	7.9060		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Wellington | LATITUDE: -41.301 | LONGITUDE: 174.808']	C	PH	G	WELLINGTON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2017.0	8.04075	Float			8.1140	7.8080		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Dunedin Pylon | LATITUDE: -45.78 | LONGITUDE: 170.72']	C	PH	G	DUNEDINPYLON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2017.0	8.02717	Float			8.1360	7.9840		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Marlborough Sounds | LATITUDE: -40.946 | LONGITUDE: 173.987']	C	PH	G	MARLBOROUGHSOUNDS
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2017.0	8.00904	Float			8.1500	7.8390		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Tasman Bay | LATITUDE: -41.191 | LONGITUDE: 173.349']	C	PH	G	TASMANBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2018.0	8.02088	Float			8.1010	7.9460		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Tasman Bay | LATITUDE: -41.191 | LONGITUDE: 173.349']	C	PH	G	TASMANBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2018.0	8.01058	Float			8.1030	7.9050		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Wellington | LATITUDE: -41.301 | LONGITUDE: 174.808']	C	PH	G	WELLINGTON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2018.0	8.02350	Float			8.1260	7.9370		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Golden Bay | LATITUDE: -40.63 | LONGITUDE: 172.716']	C	PH	G	GOLDENBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2018.0	8.06786	Float			8.1640	7.9900		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Westcoast/Jackson Bay | LATITUDE: -43.973 | LONGITUDE: 168.616']	C	PH	G	WESTCOAST-JACKSONBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2018.0	8.07817	Float			8.1460	8.0350		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Dunedin Pylon | LATITUDE: -45.78 | LONGITUDE: 170.72']	C	PH	G	DUNEDINPYLON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2018.0	8.05356	Float			8.1130	8.0240		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Stewart Island | LATITUDE: -46.925 | LONGITUDE: 168.131']	C	PH	G	STEWARTISLAND
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2018.0	8.03139	Float			8.0950	7.9390		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Marlborough Sounds | LATITUDE: -40.946 | LONGITUDE: 173.987']	C	PH	G	MARLBOROUGHSOUNDS
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2018.0	7.95262	Float			8.0260	7.8570		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Auckland | LATITUDE: -36.823 | LONGITUDE: 174.724']	C	PH	G	AUCKLAND
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2018.0	8.00845	Float			8.0570	7.9320		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Bay of Plenty | LATITUDE: -37.669 | LONGITUDE: 176.1774']	C	PH	G	BAYOFPLENTY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2018.0	8.03157	Float			8.0830	7.9450		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Chatham Islands | LATITUDE: -43.946 | LONGITUDE: 176.56']	C	PH	G	CHATHAMISLANDS
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2019.0	7.93240	Float			8.0040	7.8270		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Bay of Plenty | LATITUDE: -37.669 | LONGITUDE: 176.1774']	C	PH	G	BAYOFPLENTY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2019.0	7.99629	Float			8.0340	7.9700		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Chatham Islands | LATITUDE: -43.946 | LONGITUDE: 176.56']	C	PH	G	CHATHAMISLANDS
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2019.0	7.97883	Float			8.0220	7.9240		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Marlborough Sounds | LATITUDE: -40.946 | LONGITUDE: 173.987']	C	PH	G	MARLBOROUGHSOUNDS
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2019.0	7.90542	Float			8.0060	7.8380		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Wellington | LATITUDE: -41.301 | LONGITUDE: 174.808']	C	PH	G	WELLINGTON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2019.0	8.03375	Float			8.0400	8.0230		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Dunedin Pylon | LATITUDE: -45.78 | LONGITUDE: 170.72']	C	PH	G	DUNEDINPYLON
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2019.0	8.06660	Float			8.1310	7.9470		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Westcoast/Jackson Bay | LATITUDE: -43.973 | LONGITUDE: 168.616']	C	PH	G	WESTCOAST-JACKSONBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2019.0	7.99208	Float			8.0290	7.9470		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Golden Bay | LATITUDE: -40.63 | LONGITUDE: 172.716']	C	PH	G	GOLDENBAY
ER_OAW_MNACD	Average marine acidity (pH) measured at agreed suite of representative sampling stations	554	New Zealand	2019.0	7.98800	Float			8.0060	7.9700		Intergovernmental Oceanographic Commission (IOC) of UNESCO		['Mooring Name: Tasman Bay | LATITUDE: -41.191 | LONGITUDE: 173.349']	C	PH	G	TASMANBAY
