series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
SG_GOV_LOGV	Number of local governments (number)	462	Maldives	4	34	Southern Asia	Country	73.09672546	-0.614385021	MDV	1	1			[2017]	2017	2017	1	NUMBER	Number	G	Global			190.0			190.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	484	Mexico	5	13	Central America	Country	-102.5148166	23.93378032	MEX	1	1			[2015, 2016, 2017, 2018, 2019]	2015	2019	5	NUMBER	Number	G	Global	32.0	32.0	32.0	32.0	32.0	32.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	492	Monaco	4	155	Western Europe	Country	7.424214814	43.73532918	MCO	1	1			[2017, 2018]	2017	2018	2	NUMBER	Number	G	Global			1.0	1.0		1.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	496	Mongolia	4	30	Eastern Asia	Country	103.0728057	46.83892054	MNG	1	1			[2015, 2016, 2017, 2018, 2019]	2015	2019	5	NUMBER	Number	G	Global	0.0	22.0	22.0	22.0	22.0	22.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	499	Montenegro	4	39	Southern Europe	Country	19.25214024	42.78717043	MNE	1	1			[2018]	2018	2018	1	NUMBER	Number	G	Global				24.0		24.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	508	Mozambique	5	14	Eastern Africa	Country	38.18479941	-14.27963886	MOZ	1	1			[2017]	2017	2017	1	NUMBER	Number	G	Global			11.0			11.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	51	Armenia	4	145	Western Asia	Country	44.93839317	40.29499741	ARM	1	1			[2017, 2018, 2019]	2017	2019	3	NUMBER	Number	G	Global			793.0	502.0	502.0	502.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	516	Namibia	5	18	Southern Africa	Country	17.21907885	-22.13817068	NAM	1	1			[2015, 2016, 2017]	2015	2017	3	NUMBER	Number	G	Global	14.0	14.0	14.0			14.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	52	Barbados	5	29	Caribbean	Country	-59.5346489	13.13648273	BRB	1	1			[2018]	2018	2018	1	NUMBER	Number	G	Global				0.0		0.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	524	Nepal	4	34	Southern Asia	Country	83.94678863	28.25866332	NPL	1	1			[2015, 2016, 2017, 2018, 2019]	2015	2019	5	NUMBER	Number	G	Global	3374.0	3374.0	753.0	753.0	753.0	753.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	528	Netherlands	4	155	Western Europe	Country	5.331480568	51.86728884	NLD	1	1			[2017]	2017	2017	1	NUMBER	Number	G	Global			25.0			25.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	554	New Zealand	4	53	Australia and New Zealand	Country	170.4755673	-43.98721568	NZL	1	1			[2015, 2016, 2017, 2018]	2015	2018	4	NUMBER	Number	G	Global	16.0	16.0	16.0	16.0		16.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	562	Niger	5	11	Western Africa	Country	9.400167877	17.42143036	NER	1	1			[2015, 2016, 2017, 2018]	2015	2018	4	NUMBER	Number	G	Global	274.0	232.0	274.0	274.0		274.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	578	Norway	4	154	Northern Europe	Country	11.47846389	61.34311134	NOR	1	1			[2015, 2016, 2017, 2018, 2019]	2015	2019	5	NUMBER	Number	G	Global	384.0	376.0	373.0	366.0	402.0	402.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	604	Peru	5	5	South America	Country	-71.82093277	-13.58939705	PER	1	1			[2017, 2018]	2017	2018	2	NUMBER	Number	G	Global			1874.0	1874.0		1874.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	608	Philippines	4	35	South-Eastern Asia	Country	120.8601418	14.16591706	PHL	1	1			[2018, 2019]	2018	2019	2	NUMBER	Number	G	Global				1715.0	1715.0	1715.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	616	Poland	4	151	Eastern Europe	Country	19.40660158	52.1226733	POL	1	1			[2018, 2019]	2018	2019	2	NUMBER	Number	G	Global				16.0	16.0	16.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	634	Qatar	4	145	Western Asia	Country	51.19152467	25.28355379	QAT	1	1			[2015, 2016, 2017, 2018]	2015	2018	4	NUMBER	Number	G	Global	1.0	1.0	1.0	1.0		1.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	64	Bhutan	4	34	Southern Asia	Country	90.45098484	27.39598568	BTN	1	1			[2017, 2018]	2017	2018	2	NUMBER	Number	G	Global			20.0	39.0		39.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	642	Romania	4	151	Eastern Europe	Country	24.98481009	45.83893563	ROU	1	1			[2015, 2016, 2017, 2018, 2019]	2015	2019	5	NUMBER	Number	G	Global	3181.0	3181.0	3181.0	3181.0	3181.0	3181.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	643	Russian Federation	4	151	Eastern Europe	Country	99.01404926	61.61899849	RUS	1	1			[2015, 2016, 2017, 2018, 2019]	2015	2019	5	NUMBER	Number	G	Global	22923.0	22406.0	22324.0	21945.0	21501.0	21501.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	682	Saudi Arabia	4	145	Western Asia	Country	44.54763347	24.12594211	SAU	1	1			[2018]	2018	2018	1	NUMBER	Number	G	Global				13.0		13.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	688	Serbia	4	39	Southern Europe	Country	20.805876	44.03145697	SRB	1	1			[2017, 2018]	2017	2018	2	NUMBER	Number	G	Global			174.0	174.0		174.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	70	Bosnia and Herzegovina	4	39	Southern Europe	Country	17.78584332	44.16845548	BIH	1	1			[2017, 2018]	2017	2018	2	NUMBER	Number	G	Global			143.0	143.0		143.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	705	Slovenia	4	39	Southern Europe	Country	14.82209486	46.11958061	SVN	1	1			[2015, 2016, 2017, 2018, 2019]	2015	2019	5	NUMBER	Number	G	Global	212.0	212.0	212.0	212.0	212.0	212.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	706	Somalia	5	14	Eastern Africa	Country	46.20367477	4.406485729	SOM	1	1			[2017, 2018]	2017	2018	2	NUMBER	Number	G	Global			7.0	7.0		7.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	710	South Africa	5	18	Southern Africa	Country	24.67184355	-29.99957544	ZAF	1	1			[2015, 2016, 2017]	2015	2017	3	NUMBER	Number	G	Global	52.0	52.0	52.0			52.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
SG_GOV_LOGV	Number of local governments (number)	716	Zimbabwe	5	14	Eastern Africa	Country	29.86909584	-19.00075492	ZWE	1	1			[2017, 2018, 2019]	2017	2019	3	NUMBER	Number	G	Global			72.0	72.0	72.0	72.0			Some of the data has not followed an official validation process and may be subject to revision at a later date.â	Sendai Framework Monitoring System as provided by designated national focal points (2020)		C: Country data
