series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	value_2010	value_2015	value_2016	value_2017	value_2018	value_2019	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
AG_LND_FRSTN	Forest area (thousands of hectares)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	1885.0	1920.0	1922.0	1924.1202	1931.6084	1934.11	1936.61	1939.11	1939.11			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	192	Cuba	5	29	Caribbean	Country	-79.54460144	22.10030366	CUB	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	2435.0	2932.0	3184.0	3241.0	3242.0	3242.0	3242.0	3242.0	3242.0			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	171.61	172.84	172.71	172.61	172.59	172.57	172.55	172.53	172.53			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	199	Least Developed Countries (LDC)	1			Group								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	605373.92209	574601.26204	554973.57	551038.79	547186.16	543374.018	539489.64	535644.95	535644.95			Aggregate, may include official, semi-official, estimated or calculated data	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTN	Forest area (thousands of hectares)	2	Africa	2	1	World	Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	710048.848	676015.37	656482.32	652481.38429	648548.99	644618.828	640608.55	636638.97	636638.97			Aggregate, may include official, semi-official, estimated or calculated data	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTN	Forest area (thousands of hectares)	20	Andorra	4	39	Southern Europe	Country	1.576257417	42.54548611	AND	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	202	Sub-Saharan Africa	3	2	Africa	Region								[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	679523.778	646706.45	628006.5	624153.70429	620393.55	616636.578	612777.52	608958.15	608958.15			Aggregate, may include official, semi-official, estimated or calculated data	FAO, Global Forest Resources Assessment		_X: Data nature not available
AG_LND_FRSTN	Forest area (thousands of hectares)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	2637.29	2657.38	2668.39	2669.85	2671.66	2673.47	2675.28	2677.09	2677.09			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	204	Benin	5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	4135.15	3635.15	3385.15	3335.15	3285.15	3235.15	3185.15	3135.15	3135.15			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
AG_LND_FRSTN	Forest area (thousands of hectares)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1			[2000, 2010, 2015, 2016, 2017, 2018, 2019, 2020]	2000	2020	8	HA	Thousands of hectares	G	Global	571.6	586.49	624.68	624.66	625.6	626.56	627.5	628.44	628.44			Official country data submitted to FAO	FAO, Global Forest Resources Assessment		C: Country data
