goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_PMNR,Water body extent (permanent) (square kilometres),15,Northern Africa,3,2,Africa,Region,,,,,,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2015, 2016, 2017, 2018]",2005,2018,11,KM2,Square kilometers,G,Global,8648.382982,8565.864733,8348.031273,8221.282233,8104.264899,8117.33725,8161.654708,,,,7832.567933,7856.360368,7805.17211,7863.235859,7863.235859,,,,Global Surface Water Explorer extraction for UN Environment,,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_PMNR,Water body extent (permanent) (square kilometres),150,Europe,2,1,World,Region,,,,,,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2005,2018,14,KM2,Square kilometers,G,Global,651212.457472,649670.923957,650197.411358,655597.827802,664752.25811,670815.261922,670951.558383,672142.367319,668291.688507,674358.016511,676480.176562,681573.284395,684644.812979,691263.906709,691263.906709,,,,Global Surface Water Explorer extraction for UN Environment,,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_PMNR,Water body extent (permanent) (square kilometres),151,Eastern Europe,3,150,Europe,Region,,,,,,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2005,2018,14,KM2,Square kilometers,G,Global,533347.136401,532132.295957,532546.153303,538431.575256,547666.896009,553607.983859,553389.437369,554512.601612,550830.026427,554846.066383,556393.111984,560929.730598,563546.717239,569135.528736,569135.528736,,,,Global Surface Water Explorer extraction for UN Environment,,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_PMNR,Water body extent (permanent) (square kilometres),152,Chile,5,5,South America,Country,-71.23029019,-35.2652885,CHL,1,1,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2005,2018,14,KM2,Square kilometers,G,Global,11965.67812,12046.300052,12083.614214,12108.9758,12124.001763,12067.427848,12031.131774,11994.117408,11952.714452,11954.896094,11986.16258,11986.184939,11996.165667,12049.71734,12049.71734,,,,Global Surface Water Explorer extraction for UN Environment,,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_PMNR,Water body extent (permanent) (square kilometres),154,Northern Europe,3,150,Europe,Region,,,,,,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2005,2018,14,KM2,Square kilometers,G,Global,94866.110896,94440.915934,94461.64571,93926.261174,93905.69915,94082.243396,94260.924572,94218.156258,94020.792693,95755.436545,96108.867793,96648.324415,97029.332572,97971.786596,97971.786596,,,,Global Surface Water Explorer extraction for UN Environment,,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_PMNR,Water body extent (permanent) (square kilometres),155,Western Europe,3,150,Europe,Region,,,,,,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2005,2018,14,KM2,Square kilometers,G,Global,10426.778735,10451.720807,10522.207117,10537.106464,10486.722914,10481.302258,10522.120849,10520.383802,10519.835862,10655.904656,10713.942488,10745.545223,10817.325815,10871.30413,10871.30413,,,,Global Surface Water Explorer extraction for UN Environment,,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_PMNR,Water body extent (permanent) (square kilometres),156,China,4,30,Eastern Asia,Country,104.1403375,32.30955217,CHN,1,1,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2005,2018,14,KM2,Square kilometers,G,Global,102445.791903,103489.488611,105051.570074,106546.215851,106590.466007,107060.640001,108019.902599,108538.261302,109661.704349,110910.319212,111558.758994,112214.523629,113370.311835,114387.37723,114387.37723,,,,Global Surface Water Explorer extraction for UN Environment,,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_PMNR,Water body extent (permanent) (square kilometres),16,American Samoa,4,61,Polynesia,Country,-170.7187269,-14.30587306,ASM,0,1,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2005,2018,14,KM2,Square kilometers,G,Global,0.68894,0.678688,0.674144,0.616701,0.591052,0.546321,0.543963,0.533251,0.581823,0.592777,0.654428,0.6584,0.651316,0.657863,0.657863,,,,Global Surface Water Explorer extraction for UN Environment,,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_PMNR,Water body extent (permanent) (square kilometres),17,Middle Africa,4,202,Sub-Saharan Africa,Region,,,,,,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2005,2018,14,KM2,Square kilometers,G,Global,43758.394252,43677.204706,43533.018681,43476.411923,43350.519153,43693.479601,43747.372955,43860.420812,43855.441539,43966.691274,43989.504526,44019.168106,43937.521097,44063.33764,44063.33764,,,,Global Surface Water Explorer extraction for UN Environment,,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_PMNR,Water body extent (permanent) (square kilometres),170,Colombia,5,5,South America,Country,-73.07446751,3.888209046,COL,1,1,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2005,2018,14,KM2,Square kilometers,G,Global,4770.561811,4699.677531,4955.267405,5186.606906,5448.983802,5628.491598,5641.143608,5713.034329,5754.75799,5614.654052,5382.423933,5148.887169,4660.460518,4426.586927,4426.586927,,,,Global Surface Water Explorer extraction for UN Environment,,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_PMNR,Water body extent (permanent) (square kilometres),174,Comoros,5,14,Eastern Africa,Country,43.34234565,-11.66121732,COM,1,1,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2005,2018,14,KM2,Square kilometers,G,Global,5.291825,5.328548,4.848466,4.955641,4.952631,5.083976,4.988228,5.436317,5.368262,5.52234,5.311531,5.214815,5.071663,5.146502,5.146502,,,,Global Surface Water Explorer extraction for UN Environment,,E: Estimated data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.6,"By 2020, protect and restore water-related ecosystems, including mountains, forests, wetlands, rivers, aquifers and lakes",C060601,6.6.1,I,"UNEP, Ramsar",Change in the extent of water-related ecosystems over time,2020.Q1.G.01,"['water', 'natural resources']",EN_WBE_PMNR,Water body extent (permanent) (square kilometres),175,Mayotte,5,14,Eastern Africa,Country,45.14015057,-12.82217691,MYT,0,1,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2005,2018,14,KM2,Square kilometers,G,Global,2.279502,2.360928,2.315154,2.254172,2.277808,2.452989,2.344038,2.277502,2.318861,2.310049,2.48443,2.441267,2.320415,2.089874,2.089874,,,,Global Surface Water Explorer extraction for UN Environment,,E: Estimated data
