series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	modeOfTransportation_code	modeOfTransportation_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	112	Belarus	52574000000.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	112	Belarus	1900400.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	112	Belarus	47862700000.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	112	Belarus	37000000.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	116	Cambodia	876000.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	116	Cambodia	9782434035.08205						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	116	Cambodia	676450.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	116	Cambodia	2333153270.80256						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	116	Cambodia	1452509893.43717						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	Algeria	24803750.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	Algeria	28280480.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	Algeria	5572004985.40004						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	Algeria	0.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	12	Algeria	16984796561.1394						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	120	Cameroon	0.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	120	Cameroon	7119457606.87161						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	120	Cameroon	1822465883.91243						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	120	Cameroon	99957.15643						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	120	Cameroon	66817.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	124	Canada	2840985135.0232						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	124	Canada	323473218777.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	124	Canada	3434073000.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	124	Canada	28679342071.7946						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	124	Canada	445746000000.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	127	Southern Asia (excluding India)	1034726450.37059						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				1			Group					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	127	Southern Asia (excluding India)	140466727237.701						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				1			Group					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	127	Southern Asia (excluding India)	714451239472.024						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				1			Group					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	127	Southern Asia (excluding India)	1050939930.78936						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				1			Group					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	127	Southern Asia (excluding India)	25592602337.9801						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				1			Group					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	13	Central America	1003452567.208						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				4	419	Latin America and the Caribbean	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	13	Central America	1164208831.01956						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				4	419	Latin America and the Caribbean	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	13	Central America	2772871927.61964						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				4	419	Latin America and the Caribbean	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	13	Central America	85782904122.7252						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				4	419	Latin America and the Caribbean	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	13	Central America	320774583514.762						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				4	419	Latin America and the Caribbean	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	132	Cabo Verde	0.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	132	Cabo Verde	198054030.62531						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	132	Cabo Verde	0.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	132	Cabo Verde	0.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	132	Cabo Verde	0.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	135	Caucasus and Central Asia	260813480.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				1			Group					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	135	Caucasus and Central Asia	327591193140.158						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				1			Group					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	135	Caucasus and Central Asia	254372773182.126						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				1			Group					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	135	Caucasus and Central Asia	2914159201.60845						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				1			Group					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	135	Caucasus and Central Asia	203740686.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				1			Group					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	136	Cayman Islands	0.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	136	Cayman Islands	0.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	136	Cayman Islands	0.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	14	Eastern Africa	2678186109.54914						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	14	Eastern Africa	82850889449.8766						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	14	Eastern Africa	20342869820.8832						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	14	Eastern Africa	3602811897.59553						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	14	Eastern Africa	2722921226.136						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				4	202	Sub-Saharan Africa	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	140	Central African Republic	5491982.9468						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	140	Central African Republic	0.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	140	Central African Republic	1138346188.65356						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	142	Asia	118005606092.671						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				2	1	World	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	142	Asia	12663727000187.2						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				2	1	World	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	142	Asia	122886558643.511						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				2	1	World	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	142	Asia	4038255295566.2						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				2	1	World	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	142	Asia	1595921036154.5						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				2	1	World	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	143	Central Asia	198709580.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				3	142	Asia	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	143	Central Asia	158901186.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				3	142	Asia	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	143	Central Asia	2914159201.60845						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				3	142	Asia	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	143	Central Asia	239166857566.805						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				3	142	Asia	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	143	Central Asia	313032763609.474						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				3	142	Asia	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	144	Sri Lanka	398473464.249						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	144	Sri Lanka	436198000.0						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	144	Sri Lanka	10009249200.4056						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	144	Sri Lanka	466669321.13199						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	144	Sri Lanka	0.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	145	Western Asia	35592687414.5899						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2017				3	142	Asia	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	145	Western Asia	38279373877.1657						ICAO			C	Country data	T_KM	Tonne kilometres	MOT_AIR	Air transport	G	Global	2018				3	142	Asia	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	145	Western Asia	12166700567.5232						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_IWW	Inland waterway transport	G	Global	2018				3	142	Asia	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	145	Western Asia	41221458379.5757						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				3	142	Asia	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	145	Western Asia	600174971827.573						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				3	142	Asia	Region					
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	148	Chad	5941200497.5778						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_ROA	Road transport	G	Global	2018				5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1
IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	148	Chad	0.0						the International Transport Forum at the OECD (ITF-OECD)			C	Country data	T_KM	Tonne kilometres	MOT_RAI	Rail transport	G	Global	2018				5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1
