series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	524	Nepal	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	34	Southern Asia	Country	83.94678863	28.25866332	NPL	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	578	Norway	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	154	Northern Europe	Country	11.47846389	61.34311134	NOR	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	585	Palau	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	57	Micronesia	Country	134.5733878	7.502307591	PLW	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	598	Papua New Guinea	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	54	Melanesia	Country	145.8587761	-6.756057077	PNG	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	600	Paraguay	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	5	South America	Country	-60.54854225	-21.70216237	PRY	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	608	Philippines	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	35	South-Eastern Asia	Country	120.8601418	14.16591706	PHL	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	616	Poland	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	151	Eastern Europe	Country	19.40660158	52.1226733	POL	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	626	Timor-Leste	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	35	South-Eastern Asia	Country	125.9451052	-8.797497247	TLS	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	64	Bhutan	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	34	Southern Asia	Country	90.45098484	27.39598568	BTN	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	678	Sao Tome and Principe	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	17	Middle Africa	Country	6.609772265	0.241554875	STP	1	1
