series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex	Type of occupation	Reporting Type
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	25.3	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-9	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	26.8	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-X	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	59.6	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	27.8	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-8	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	43.7	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-6	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	30.4	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-7	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	25	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-9	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2015.0	21.9	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-X	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	36	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-6	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	57	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	28	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-X	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	45	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-4	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	37	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-5	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	60	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-3	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	88	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-1	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	85	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-2	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	25	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-9	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	73	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-1	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	74	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-2	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	50	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	62	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	95	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-1	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	46	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-7	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	41	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-8	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	33	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-X	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	28	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-9	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	45	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-5	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	36	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-6	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	95	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-2	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	47	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-7	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	48	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-4	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	70	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-3	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	37	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-7	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	35	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-8	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	35	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-6	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	51	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-3	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	31	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-5	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	43	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-4	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	42	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-8	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	30	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-9	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2016.0	36	Float					HIES - Income Survey	['Employment definition: Including subsistence workers | Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-X	G
