series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type	Cities
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	GUADALUPE_ZACATECAS
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	100	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	GUADALUPE_NUEVOLEON
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	95	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CHIHUAHUA_CHIHUAHUA
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	90	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	GUADALAJARA_JALISCO
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	90	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CUAUTLA_MORELOS
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CUAUHTEMOC_CHIHUAHUA
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	90	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CORDOBA_VERACRUZ
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	COMITANDEDOMINGUEZ_CHIAPAS
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	COLIMA
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	80	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	COATZACOALCOS_VERACRUZ
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	HIDALGODELPARRAL_CHIHUAHUA
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	ZITACUARO_MICHOACAN
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	90	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	IRAPUATO_GUANAJUATO
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	IGUALA_GUERRERO
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	80	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	VILLAHERMOSA_CENTRO_TABASCO
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	90	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	XALAPA_VERACRUZ
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	85	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	ZACATECAS_ZACATECAS
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	90	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	VICTORIA_TAMAULIPAS
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	90	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	ZAMORA_MICHOACAN
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2001.0	90	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	ZAPOPAN_JALISCO
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2012.0	95	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	GUADALAJARA_JALISCO
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2015.0	83.26539	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CORREGIDORA
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2015.0	81.4	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	CIUDADOBREGON
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2015.0	82.35383	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	GUADALAJARA
EN_REF_WASCOL	Municipal Solid Waste collection coverage, by cities (%)	484	Mexico	2015.0	81.4	Float						United Nations Human Settlements Programme (UN-Habitat)		['Municipal Solid Waste (MSW) collection coverage is defined as the amount of MSQ collected as a proportion of total MSW generated.']	C	PERCENT	G	MEXICOCITY
