goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2020	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120401	12.4.1	Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement	2020.Q1.G.02	['hazardous wastes', 'international instruments']	SG_HAZ_CMRMNMT	Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1			[2020]	2020	2020	1	PT	Percentage	G	Global	66.67	66.67				Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120401	12.4.1	Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement	2020.Q1.G.02	['hazardous wastes', 'international instruments']	SG_HAZ_CMRMNMT	Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (%)	21	Northern America	3	19	Americas	Region								[2020]	2020	2020	1	PT	Percentage	G	Global	50.0	50.0				Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120401	12.4.1	Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement	2020.Q1.G.02	['hazardous wastes', 'international instruments']	SG_HAZ_CMRMNMT	Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (%)	214	Dominican Republic	5	29	Caribbean	Country	-70.49847576	18.89832088	DOM	1	1			[2020]	2020	2020	1	PT	Percentage	G	Global	66.67	66.67				Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120401	12.4.1	Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement	2020.Q1.G.02	['hazardous wastes', 'international instruments']	SG_HAZ_CMRMNMT	Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			[2020]	2020	2020	1	PT	Percentage	G	Global	66.67	66.67				Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120401	12.4.1	Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement	2020.Q1.G.02	['hazardous wastes', 'international instruments']	SG_HAZ_CMRMNMT	Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1			[2020]	2020	2020	1	PT	Percentage	G	Global	66.67	66.67				Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120401	12.4.1	Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement	2020.Q1.G.02	['hazardous wastes', 'international instruments']	SG_HAZ_CMRMNMT	Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (%)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1			[2020]	2020	2020	1	PT	Percentage	G	Global	66.67	66.67				Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120401	12.4.1	Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement	2020.Q1.G.02	['hazardous wastes', 'international instruments']	SG_HAZ_CMRMNMT	Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (%)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1			[2020]	2020	2020	1	PT	Percentage	G	Global	66.67	66.67				Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120401	12.4.1	Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement	2020.Q1.G.02	['hazardous wastes', 'international instruments']	SG_HAZ_CMRMNMT	Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (%)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			[2020]	2020	2020	1	PT	Percentage	G	Global	66.67	66.67				Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120401	12.4.1	Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement	2020.Q1.G.02	['hazardous wastes', 'international instruments']	SG_HAZ_CMRMNMT	Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (%)	262	Djibouti	5	14	Eastern Africa	Country	42.18274707	11.56004161	DJI	1	1			[2020]	2020	2020	1	PT	Percentage	G	Global	33.33	33.33				Environment Live		C: Country data
12	Goal 12	Ensure sustainable consumption and production patterns	12.4	By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water and soil in order to minimize their adverse impacts on human health and the environment	C120401	12.4.1	Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement	2020.Q1.G.02	['hazardous wastes', 'international instruments']	SG_HAZ_CMRMNMT	Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (%)	266	Gabon	5	17	Middle Africa	Country	11.78727747	-0.60687619	GAB	1	1			[2020]	2020	2020	1	PT	Percentage	G	Global	33.33	33.33				Environment Live		C: Country data
