series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	modeOfTransportation_code	modeOfTransportation_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	135	Caucasus and Central Asia	1			Group								MOT_RAI	Rail transport	2018	2572965326.68731					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	135	Caucasus and Central Asia	1			Group								MOT_ROA	Road transport	2018	310737306912.302					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1			MOT_ROA	Road transport	2018	1047044053.15613					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	136	Cayman Islands	5	29	Caribbean	Country	-81.16740559	19.32266656	CYM	0	1			MOT_RAI	Rail transport	2018	4314300.13251					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	14	Eastern Africa	4	202	Sub-Saharan Africa	Region								MOT_AIR	Air transport	2018	66703313134.7043					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	14	Eastern Africa	4	202	Sub-Saharan Africa	Region								MOT_RAI	Rail transport	2018	18510300578.9384					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	14	Eastern Africa	4	202	Sub-Saharan Africa	Region								MOT_ROA	Road transport	2018	280340932518.662					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			MOT_ROA	Road transport	2018	1636984047.4304					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	140	Central African Republic	5	17	Middle Africa	Country	20.93559492	7.003720791	CAF	1	1			MOT_RAI	Rail transport	2018	4603737.25064					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	142	Asia	2	1	World	Region								MOT_AIR	Air transport	2018	3626190364220.38					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	142	Asia	2	1	World	Region								MOT_ROA	Road transport	2018	13352015634193.2					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	142	Asia	2	1	World	Region								MOT_RAI	Rail transport	2018	4685665422537.21					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	143	Central Asia	3	142	Asia	Region								MOT_AIR	Air transport	2018	30761607118.7644					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	143	Central Asia	3	142	Asia	Region								MOT_RAI	Rail transport	2018	1388449002.10839					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	143	Central Asia	3	142	Asia	Region								MOT_ROA	Road transport	2018	211766829975.314					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			MOT_AIR	Air transport	2018	16180428000.0					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			MOT_RAI	Rail transport	2018	120680511729.506					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			MOT_ROA	Road transport	2018	23014793142.232					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	145	Western Asia	3	142	Asia	Region								MOT_AIR	Air transport	2018	931739106050.309					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	145	Western Asia	3	142	Asia	Region								MOT_ROA	Road transport	2018	1297264919191.6					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	145	Western Asia	3	142	Asia	Region								MOT_RAI	Rail transport	2018	16810859974.7388					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			MOT_ROA	Road transport	2018	7317427376.03095					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	148	Chad	5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1			MOT_RAI	Rail transport	2018	16238449.82704					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	15	Northern Africa	3	2	Africa	Region								MOT_AIR	Air transport	2018	59536136377.2813					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	15	Northern Africa	3	2	Africa	Region								MOT_RAI	Rail transport	2018	4047121730.97651					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	15	Northern Africa	3	2	Africa	Region								MOT_ROA	Road transport	2018	750736272957.21					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	150	Europe	2	1	World	Region								MOT_AIR	Air transport	2018	1974661771268.56					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	150	Europe	2	1	World	Region								MOT_ROA	Road transport	2018	27171791467552.4					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	150	Europe	2	1	World	Region								MOT_RAI	Rail transport	2018	5002702461132.83					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	151	Eastern Europe	3	150	Europe	Region								MOT_AIR	Air transport	2018	328373723820.0					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	151	Eastern Europe	3	150	Europe	Region								MOT_RAI	Rail transport	2018	214606079000.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	151	Eastern Europe	3	150	Europe	Region								MOT_ROA	Road transport	2018	674656610000.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			MOT_AIR	Air transport	2018	36806563583.0					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			MOT_ROA	Road transport	2018	69713628107.654					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			MOT_RAI	Rail transport	2018	676509974.0					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	154	Northern Europe	3	150	Europe	Region								MOT_AIR	Air transport	2018	723393683025.226					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	154	Northern Europe	3	150	Europe	Region								MOT_RAI	Rail transport	2018	4427381027159.59					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	154	Northern Europe	3	150	Europe	Region								MOT_ROA	Road transport	2018	22641335393246.6					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	155	Western Europe	3	150	Europe	Region								MOT_AIR	Air transport	2018	679838115628.731					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	155	Western Europe	3	150	Europe	Region								MOT_RAI	Rail transport	2018	268581972068.8					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	155	Western Europe	3	150	Europe	Region								MOT_ROA	Road transport	2018	2352134908233.43					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			MOT_AIR	Air transport	2018	1167406085879.33					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			MOT_ROA	Road transport	2018	6183373378391.28					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			MOT_RAI	Rail transport	2018	1319895190244.92					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	158	Other non-specified areas in Eastern Asia	4	30	Eastern Asia	Country								MOT_AIR	Air transport	2017	92234268646.537					ICAO		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
IS_RDP_PFVOL	Passenger volume (passenger kilometres), by mode of transport	16	American Samoa	4	61	Polynesia	Country	-170.7187269	-14.30587306	ASM	0	1			MOT_ROA	Road transport	2018	466656803.2					the International Transport Forum at the OECD (ITF-OECD)		C	Country data	P_KM	Revenue passenger kilometres	G	Global			
