series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	sex_code	sex_desc	parliamentaryCommittees_code	parliamentaryCommittees_desc	age_code	age_desc	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			M	Male	PC_FINANCE	Finance	Y0T45	under 46 years old	2020	1.0					IPU	Bicameral: Upper chamber (Senate)	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			M	Male	PC_FOR_AFF	Foreign Affairs	Y_GE46	46 years old and over	2020	1.0					IPU	Bicameral: Upper chamber (Senate). This is a joint committee that covers both Foreign Affairs and Defence with one chair in each chamber. The chair should only be counted once (appears 2 times in upper chamber).	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			M	Male	PC_DEFENCE	Defence	Y_GE46	46 years old and over	2020	1.0					IPU	Bicameral: Upper chamber (Senate). This is a joint committee that covers both Foreign Affairs and Defence with one chair in each chamber. The chair should only be counted once (appears 2 times in upper chamber).	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			M	Male	PC_HUM_RIGH	Human Rights	Y_GE46	46 years old and over	2020	1.0					IPU	Bicameral: Upper chamber (Senate)	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1			M	Male	PC_HUM_RIGH	Human Rights	Y_GE46	46 years old and over	2020	1.0					IPU	Bicameral: Upper chamber (Senate)	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1			M	Male	PC_FINANCE	Finance	Y_GE46	46 years old and over	2020	1.0					IPU	Bicameral: Upper chamber (Senate)	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1			M	Male	PC_DEFENCE	Defence	Y_GE46	46 years old and over	2020	1.0					IPU	Bicameral: Upper chamber (Senate)	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1			F	Female	PC_GEN_EQU	Gender Equality	Y_GE46	46 years old and over	2020	1.0					IPU	Bicameral: Upper chamber (Senate)	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	178	Congo	5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1			M	Male	PC_FOR_AFF	Foreign Affairs	Y_GE46	46 years old and over	2020	1.0					IPU	Bicameral: Upper chamber (Senate)	_X	Data nature not available	NUMBER	Number	G	Global			
SG_DMK_PARLCC_UC	Number of chairs of permanent committees, by age sex and focus of the committee, Upper Chamber	180	Democratic Republic of the Congo	5	17	Middle Africa	Country	23.65496507	-2.877154732	COD	1	1			F	Female	PC_FOR_AFF	Foreign Affairs	Y0T45	under 46 years old	2020	1.0					IPU	Bicameral: Upper chamber (Senate)	_X	Data nature not available	NUMBER	Number	G	Global			
