series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	458	Malaysia	4	35	South-Eastern Asia	Country	116.8346314	5.452415309	MYS	1	1			2019	80.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 24 local breeds, 79% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	466	Mali	5	11	Western Africa	Country	-3.522016039	17.35311254	MLI	1	1			2019	0.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 57 local breeds, 95% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	480	Mauritius	5	14	Eastern Africa	Country	57.568022	-20.28581998	MUS	1	1			2019	100.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 6 local breeds, 83% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	484	Mexico	5	13	Central America	Country	-102.5148166	23.93378032	MEX	1	1			2019	50.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 37 local breeds, 84% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	496	Mongolia	4	30	Eastern Asia	Country	103.0728057	46.83892054	MNG	1	1			2019	27.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 44 local breeds, 0% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	499	Montenegro	4	39	Southern Europe	Country	19.25214024	42.78717043	MNE	1	1			2019	83.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 13 local breeds, 8% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	5	South America	4	419	Latin America and the Caribbean	Region								2019	41.46341					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 381 local breeds, 78% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	504	Morocco	4	15	Northern Africa	Country	-6.281942841	31.8440131	MAR	1	1			2019	8.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 33 local breeds, 64% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	508	Mozambique	5	14	Eastern Africa	Country	38.18479941	-14.27963886	MOZ	1	1			2019	0.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 11 local breeds, 73% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	512	Oman	4	145	Western Asia	Country	57.87743482	21.98805614	OMN	1	1			2019	0.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 19 local breeds, 89% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	513	Europe and Northern America	2	1	World	Region								2019	85.86804					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 3281 local breeds, 35% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	516	Namibia	5	18	Southern Africa	Country	17.21907885	-22.13817068	NAM	1	1			2019	63.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 30 local breeds, 20% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	528	Netherlands	4	155	Western Europe	Country	5.331480568	51.86728884	NLD	1	1			2019	92.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 110 local breeds, 7% are of unknown status	C	Country data	PT	Percentage	G	Global			
